permeability,resistivity,H_imag_375,H_imag_750,H_imag_1500,H_imag_3000,H_imag_6000,H_imag_12000,H_imag_24000,H_imag_48000,H_real_375,H_real_750,H_real_1500,H_real_3000,H_real_6000,H_real_12000,H_real_24000,H_real_48000
50,2e-07,9.742361096634874e-05,0.00017822065682063712,0.00022783095045199428,0.00017483834432537704,9.05677749028064e-05,4.127178184561331e-05,2.3344508813436803e-05,1.0951510434526309e-05,-7.916726271764798e-05,-1.8325908304564942e-05,0.00012171120783977901,0.000262598363536844,0.0003175571990782,0.00032386512707622395,0.000324536063680028,0.00033325300931169897
50,4e-07,9.813890066784467e-05,0.00017674760904654117,0.0002257447998344497,0.00017231055955161648,8.84049768947673e-05,3.951791487365289e-05,2.17179931401255e-05,9.4112712779354e-06,-6.876653420369804e-05,-9.733506109471982e-06,0.00012918361645453493,0.000268519019331519,0.00032213903212284994,0.00032766346804050794,0.000327700436450592,0.00033566153972242697
50,6e-07,0.00010067995156563907,0.00017645799900671016,0.0002246012613260764,0.00017100541911266122,8.71982412126431e-05,3.84936598456521e-05,2.0704057711527408e-05,8.3757318814836e-06,-6.318277115572798e-05,-3.736263056052045e-06,0.00013382956908502798,0.00027238410364062703,0.00032524421119339196,0.00033031461778743504,0.000329972252525012,0.00033743987351516095
50,8e-07,0.00010308737589591496,0.00017711383217728057,0.00022379226821344668,0.00017016207534603623,8.6403771714137e-05,3.7799165469742e-05,1.9978769637910102e-05,7.59565549849111e-06,-6.020610613607295e-05,7.607448868740107e-07,0.00013744750281430605,0.00027522139894739495,0.00032762231138948897,0.00033238702832242705,0.000331784794582506,0.00033888717026461204
50,1e-06,0.00010500265333371067,0.00017822567811124037,0.0002233119761475105,0.00016950743574894024,8.58423542371769e-05,3.729128596927381e-05,1.9423542905778988e-05,6.971884679201896e-06,-5.8521119792155e-05,4.063072379722988e-06,0.00014053963488957702,0.000277471466383433,0.00032955060840255605,0.000334097944122411,0.00033330779640838295,0.000340122028403894
100,2e-07,9.836489375094872e-05,0.00017736726696722648,0.00022572456312408809,0.0001722833492723883,8.83861473424835e-05,3.94926688981397e-05,2.1648550058325596e-05,9.154886789720595e-06,-7.070375704915305e-05,-9.696959052627038e-06,0.00012930228434185397,0.000268514463548201,0.00032212223065466403,0.000327657401238035,0.000327731352524415,0.000335725424649591
100,4e-07,9.937730476492751e-05,0.0001773743262160615,0.0002243896357639289,0.00017014084496631203,8.638146644814309e-05,3.778046597863329e-05,1.9951926545343893e-05,7.523805878904708e-06,-6.203381343319804e-05,-1.1639830237809628e-06,0.00013749757541353598,0.000275333774364048,0.00032761782559215794,0.00033237575597614403,0.00033178101560147,0.00033891971805601604
100,6e-07,0.000101107240079056,0.000177616925483141,0.0002239906404745039,0.00016917383763720014,8.53839763682964e-05,3.6883472863764305e-05,1.8960379823572206e-05,6.417817390856907e-06,-5.694580918191806e-05,3.886308212426972e-06,0.00014235291055084202,0.00027959033081453904,0.000331191643173728,0.000335553250378263,0.00033461824143786104,0.00034121354063873597
100,8e-07,0.00010298336277521162,0.00017808941518483314,0.0002238177381183162,0.00016863635266728213,8.47901884965951e-05,3.6328366507498e-05,1.8296097805795895e-05,5.606137963224612e-06,-5.386511282988796e-05,7.628842975273978e-06,0.00014576875857399198,0.00028266828300155,0.00033384691694965206,0.000337971729010933,0.000336835963091579,0.000343054891870866
100,1e-06,0.00010464143306649964,0.00017879817710010534,0.0002237246933503307,0.0001683053401637558,8.440349494676829e-05,3.59569507888403e-05,1.7817664446549602e-05,4.976487061560301e-06,-5.196426360086503e-05,1.0542993855113003e-05,0.00014844544429227797,0.00028505835790982296,0.00033595325293832203,0.00033992862006532995,0.00033866634707341797,0.00034460705104737306
200,2e-07,9.979084555519077e-05,0.00017749504038362706,0.000224352893451369,0.00017009733087623453,8.63512928585482e-05,3.77019871339789e-05,1.95987861222519e-05,6.519368935527605e-06,-6.265631367042505e-05,-1.0876227772879492e-06,0.00013751335531363303,0.00027529891191655604,0.000327592459505591,0.00033242183719987004,0.00033194146701155094,0.000338819993104561
200,4e-07,0.00010160281337343266,0.00017849413624223317,0.000223943197788928,0.00016860231189489238,8.475811066280511e-05,3.6296978909835495e-05,1.821371812459669e-05,5.234361543626008e-06,-5.553252041296897e-05,7.00457388331209e-06,0.000145839959948353,0.00028267923928453997,0.0003338205671746,0.000337957877222336,0.00033689077115877904,0.000343212982292336
200,6e-07,0.00010287297007757452,0.00017936023798068742,0.00022408315939532021,0.00016809254954619937,8.410487089087411e-05,3.56684804215395e-05,1.741520850443001e-05,4.309341383450496e-06,-5.1615668442253995e-05,1.1362649346301017e-05,0.00015053018196261496,0.00028705984749930505,0.000337684629750337,0.00034155087259483497,0.00034023520881315897,0.000346062150878312
200,8e-07,0.00010405683632463251,0.0001800415432617067,0.0002243248143054165,0.00016789451513334592,8.37856918314219e-05,3.5348299974538794e-05,1.6923353733160995e-05,3.6121941301476993e-06,-4.8971265534681024e-05,1.4295423295807041e-05,0.00015372913665649305,0.000290121170084341,0.00034046465760865607,0.00034420907729182897,0.000342793619216191,0.000348281573890217
200,1e-06,0.0001051836458147036,0.0001806255203308938,0.0002245813790275896,0.0001678236915791176,8.362383119680719e-05,3.5180622063248106e-05,1.66039547382555e-05,3.0781169020858984e-06,-4.71191645391091e-05,1.652034737001807e-05,0.00015611980341732597,0.00029244494882783303,0.00034261905188255696,0.00034631020718044,0.00034486708184834907,0.00035012387205753896
300,2e-07,0.00010087042885581225,0.00017798200834041503,0.0002239531714772428,0.00016909865311489874,8.532470414771011e-05,3.667093059954741e-05,1.809778480392111e-05,4.466311819694503e-06,-5.8410347800878976e-05,3.749928625226026e-06,0.000142393102097622,0.000279533814160283,0.00033116628173942203,0.000335688886957634,0.000334858144937495,0.000340701894413704
300,4e-07,0.00010296490030340928,0.00017941147210420266,0.00022407179707734982,0.00016805269193788738,8.40819799762557e-05,3.5637605755872e-05,1.723573070751909e-05,3.568151745964295e-06,-5.198077615240805e-05,1.1335716293665995e-05,0.00015054923236989095,0.000287034209043556,0.00033765267866643205,0.00034156716472724506,0.000340385121774196,0.00034617945427988406
300,6e-07,0.00010425804727288116,0.0001804519906110852,0.0002244879763807165,0.00016781450108569232,8.366351191324521e-05,3.5228990805456705e-05,1.6684419368335e-05,2.9623149669450117e-06,-4.868442830973296e-05,1.5327542922486032e-05,0.00015500189697432195,0.00029135390933895,0.00034157551069311697,0.00034529954934682793,0.00034394515545356594,0.00034943390058010703
