% MP,res,freq (Hz),real(mf.VCoil_2/(mf.ICoil_1*mf.omega*1j)) (H),imag(mf.VCoil_2/(mf.ICoil_1*mf.omega*1j)) (H),real(mf.VCoil_3/(mf.ICoil_1*mf.omega*1j)) (H),imag(mf.VCoil_3/(mf.ICoil_1*mf.omega*1j)) (H)
50,2e-07,375,0.000582359527065049,-2.43429853227936e-06,0.000661526789782697,-9.98579094986281e-05
50,2e-07,750,0.000584450202144963,1.10302813262191e-05,0.000602776110449528,-0.000167190375494418
50,2e-07,1500,0.000601524680148769,1.85330002189343e-05,0.00047981347230899,-0.00020929795023306
50,2e-07,3000,0.000621904067444932,3.31214970686804e-06,0.000359305703908088,-0.000171526194618509
50,2e-07,6000,0.000621191079147445,-3.04912209613446e-05,0.000303633880069245,-0.000121058995864151
50,2e-07,12000,0.000591648938541336,-5.98465383948557e-05,0.000267783811465112,-0.000101118320240469
50,2e-07,24000,0.000550673450988641,-6.74431249054648e-05,0.000226137387308613,-9.07876337189016e-05
50,2e-07,48000,0.000518778000236388,-6.29064939960965e-05,0.000185524990924689,-7.38580044306228e-05
50,4e-07,375,0.000593768991829407,-2.33953071636033e-06,0.000662535526033105,-0.000100478431384205
50,4e-07,750,0.000593331649019845,8.80680534766818e-06,0.000603065155129317,-0.000167940803698873
50,4e-07,1500,0.000608826783257404,1.60257449607147e-05,0.000479643166802869,-0.000209719054873735
50,4e-07,3000,0.000627663077517464,7.35701316329466e-07,0.000359144058185945,-0.000171574858235287
50,4e-07,6000,0.000625735658308942,-3.26313266587597e-05,0.000303596626186092,-0.000121036303553527
50,4e-07,12000,0.000595443158299255,-6.15932618293041e-05,0.000267779690258747,-0.000101111176702957
50,4e-07,24000,0.000553833915083373,-6.90680282026736e-05,0.000226133478632781,-9.07860213427991e-05
50,4e-07,48000,0.000521183753784073,-6.44441145936469e-05,0.000185522214061646,-7.38553858715823e-05
50,6e-07,375,0.0006000632246449,8.12073694260712e-08,0.000663245995800628,-0.000100598744196213
50,6e-07,750,0.00059960989419332,8.02389595032117e-06,0.000603346157249372,-0.000168434103056389
50,6e-07,1500,0.000613385691215672,1.45950023394044e-05,0.000479556122130644,-0.000210006258986672
50,6e-07,3000,0.000631419654514773,-6.13596132705785e-07,0.000359035550874146,-0.000171619015245367
50,6e-07,6000,0.000628813345463896,-3.38244895791539e-05,0.000303569134270504,-0.000121022730791797
50,6e-07,12000,0.000598090898215693,-6.26123654072399e-05,0.000267776280428258,-0.000101106025252892
50,6e-07,24000,0.000556103022321928,-7.00809264785057e-05,0.000226130769796916,-9.07849841900331e-05
50,6e-07,48000,0.000522960010808213,-6.54778707045271e-05,0.000185520137293052,-7.38536025860107e-05
50,8e-07,375,0.000603492226396356,2.53668589343297e-06,0.000663698332532429,-0.000100550690002482
50,8e-07,750,0.000604398822387629,8.35070984568256e-06,0.000603638077500755,-0.000168763122331598
50,8e-07,1500,0.000616947114694197,1.35571608058057e-05,0.000479499611879891,-0.000210235107407641
50,8e-07,3000,0.000634176460919189,-1.49734967659679e-06,0.000358955061971794,-0.000171659425022633
50,8e-07,6000,0.000631168880932802,-3.4609432318617e-05,0.000303546569543313,-0.000121013204032754
50,8e-07,12000,0.000600160302198639,-6.3302800890986e-05,0.000267773273876212,-0.000101101966360728
50,8e-07,24000,0.000557913447007148,-7.08054209920941e-05,0.000226128652424642,-9.07841906300042e-05
50,8e-07,48000,0.000524405611178063,-6.62565849585027e-05,0.000185518440913451,-7.38522404569938e-05
50,1e-06,375,0.000605468833812784,4.53835920116768e-06,0.000663989953604939,-0.000100464294132543
50,1e-06,750,0.000607973851044433,9.25565265420937e-06,0.00060391077866471,-0.000168970025457031
50,1e-06,1500,0.000620006287206015,1.28782063830315e-05,0.000479466652316438,-0.000210433769764479
50,1e-06,3000,0.000636362795065594,-2.18776916484976e-06,0.000358891328682161,-0.00017169520491379
50,1e-06,6000,0.000633077634921899,-3.51639541371531e-05,0.000303527026519343,-0.00012100630837433
50,1e-06,12000,0.000601868523776264,-6.38073043729012e-05,0.000267770579653853,-0.000101098590342175
50,1e-06,24000,0.000559434686424984,-7.13599937194994e-05,0.000226126890016601,-9.07835366252784e-05
50,1e-06,48000,0.000525639020881619,-6.68792501642986e-05,0.000185516992477725,-7.38511348435005e-05
100,2e-07,375,0.000591606302902425,-2.05455980651728e-06,0.000662310059951578,-0.000100419453557466
100,2e-07,750,0.000593369786653719,9.4822884664595e-06,0.000603066745706346,-0.000167884978500767
100,2e-07,1500,0.000608954766180944,1.60078118574711e-05,0.00047965248183909,-0.000209716751266617
100,2e-07,3000,0.000627656187372231,7.08775876241303e-07,0.00035914172382403,-0.000171574573396147
100,2e-07,6000,0.000625718868641491,-3.26480885700395e-05,0.000303596637986827,-0.000121034235912523
100,2e-07,12000,0.00059543792123648,-6.16177375019823e-05,0.000267780519998445,-0.000101110406400122
100,2e-07,24000,0.000553865299321991,-6.91375948492492e-05,0.000226133946797576,-9.07861449075748e-05
100,2e-07,48000,0.000521247625161904,-6.47003679374999e-05,0.000185522200512313,-7.38552547272205e-05
100,4e-07,375,0.000601268869057657,-1.54716670323448e-06,0.000663302682490855,-0.000100924471468162
100,4e-07,750,0.000602318099583023,8.7315014551935e-06,0.000603482082606804,-0.000168642824760868
100,4e-07,1500,0.000617018777623043,1.41828801112739e-05,0.000479521202209507,-0.000210206755652655
100,4e-07,3000,0.000634292696758238,-1.51975938286198e-06,0.00035895892239419,-0.000171660604349174
100,4e-07,6000,0.000631163675255926,-3.46313017474189e-05,0.000303545849663768,-0.000121012768195562
100,4e-07,12000,0.000600149381293358,-6.33207818658177e-05,0.000267773625317214,-0.000101101247844451
100,4e-07,24000,0.00055791012383961,-7.08322163170554e-05,0.00022612910823814,-9.07841428623993e-05
100,4e-07,48000,0.000524438236765051,-6.63285245623519e-05,0.000185518518709035,-7.38523304412566e-05
100,6e-07,375,0.000607015345862349,3.54706009680098e-08,0.000663961155044267,-0.000101071769478088
100,6e-07,750,0.00060769255463813,8.53914649057e-06,0.000603806246425703,-0.000169077778992571
100,6e-07,1500,0.000621819608757406,1.34585145468689e-05,0.000479466698206564,-0.000210532125927635
100,6e-07,3000,0.00063843601563189,-2.55300262393386e-06,0.000358845684817351,-0.000171726840261134
100,6e-07,6000,0.000634701617387943,-3.56181121051376e-05,0.000303509974214215,-0.000121002088473434
100,6e-07,12000,0.000603321389518855,-6.42116163060277e-05,0.000267768139140592,-0.000101095089169792
100,6e-07,24000,0.000560743981463424,-7.18224802153307e-05,0.000226125740025563,-9.07828600389029e-05
100,6e-07,48000,0.000526729394830875,-6.74324815963022e-05,0.000185515854192139,-7.38502989871591e-05
100,8e-07,375,0.000610547314935307,1.91458426972961e-06,0.000664412427765195,-0.000101068778505482
100,8e-07,750,0.000611711187692634,8.72144985111215e-06,0.00060408234471736,-0.000169367965333721
100,8e-07,1500,0.00062521574305927,1.30408273539272e-05,0.000479446984485278,-0.000210776910764389
100,8e-07,3000,0.00064143096012245,-3.14567026273987e-06,0.0003587626771209,-0.000171782022930022
100,8e-07,6000,0.000637328944587599,-3.62057406397969e-05,0.000303482027637947,-0.000120995929136392
100,8e-07,12000,0.000605735170885903,-6.4762056748953e-05,0.00026776344187497,-0.000101090423256451
100,8e-07,24000,0.000562959078960759,-7.24858074785234e-05,0.00022612311586918,-9.07819052843193e-05
100,8e-07,48000,0.000528568592905503,-6.82426246117209e-05,0.000185513701034637,-7.38487625749455e-05
100,1e-06,375,0.000612758397603033,3.62959597634665e-06,0.000664722661203898,-0.000101011837090153
100,1e-06,750,0.000614869917207581,9.23092488702134e-06,0.000604326923352468,-0.000169567252213084
100,1e-06,1500,0.00062788978062354,1.27523369433367e-05,0.000479444336331262,-0.000210972356406994
100,1e-06,3000,0.000643756071702638,-3.52543718824219e-06,0.000358697713792815,-0.000171830777351998
100,1e-06,6000,0.000639412274340945,-3.65885263041817e-05,0.000303459021402623,-0.00012099202125095
100,1e-06,12000,0.000607687901808261,-6.51297464458977e-05,0.000267759281742931,-0.000101086697234738
100,1e-06,24000,0.000564787298071115,-7.29634737441764e-05,0.000226120950997697,-9.0781138190726e-05
100,1e-06,48000,0.000530118930597972,-6.88710469484701e-05,0.000185511879550599,-7.38475340100304e-05
200,2e-07,375,0.000600478400620519,-1.11972285391723e-06,0.000663134714290944,-0.000100910568409108
200,2e-07,750,0.000602385898367725,8.89605524160904e-06,0.000603473521145013,-0.000168598985142018
200,2e-07,1500,0.000617032461328813,1.4143294760506e-05,0.00047951910601518,-0.000210209598690863
